{}type,description
author," Sarah Rees Brennan was born in Ireland by the sea. After world travel and surviving stage four cancer, she settled there in the shadow of a three-hundred-year-old library. Writing young adult fiction, she was a Lodestar, Mythopoeic and World Fantasy finalist, Carnegie nominee and New York Times bestseller. Long Live Evil is her first adult work. "
book,"This deluxe Barnes and Noble Exclusive Edition features unique sprayed and stenciled edges, silver foil, an exclusive essay by Shelby Van Pelt and one chapter annotated by the author in her own handwriting.A New York Times Bestseller!A Read With Jenna Today Show Book Club Pick!“Remarkably Bright Creatures [is] an ultimately feel-good but deceptively sensitive debut...Memorable and tender.” — Washington Post A charming, witty and compulsively readable exploration of friendship, reckoning, and hope that traces a widow's unlikely connection with a giant Pacific octopusAfter Tova Sullivan’s husband died, she began working the night shift at the Sowell Bay Aquarium, mopping floors and tidying up. Keeping busy has always helped her cope, which she’s been doing since her eighteen-year-old son, Erik, mysteriously vanished on a boat in Puget Sound over thirty years ago.Tova becomes acquainted with curmudgeonly Marcellus, a giant Pacific octopus living at the aquarium. Marcellus knows more than anyone can imagine but wouldn’t dream of lifting one of his eight arms for his human captors—until he forms a remarkable friendship with Tova.Ever the detective, Marcellus deduces what happened the night Tova’s son disappeared. And now Marcellus must use every trick his old invertebrate body can muster to unearth the truth for her before it’s too late. Shelby Van Pelt’s debut novel is a gentle reminder that sometimes taking a hard look at the past can help uncover a future that once felt impossible."
author," Born and raised in the Pacific Northwest, Shelby Van Pelt lives in the suburbs of Chicago with her family. Remarkably Bright Creatures is her first novel."
book,"A young man is haunted by a mythological specter bent on stealing everything he loves in this unsettling horror from the author of Indian Burial Ground and Sisters of the Lost Nation.As featured in People ∙ Men’s Health ∙ Chicago Tribune ∙ Paste Magazine ∙ and more!For fear of summoning evil spirits, Native superstition says you should never, ever whistle at night.Henry Hotard was on the verge of fame, gaining a following and traction with his eerie ghost-hunting videos. Then his dreams came to a screeching halt. Now, he's learning to navigate a new life in a wheelchair, back on the reservation where he grew up, relying on his grandparents’ care while he recovers.And he’s being haunted.His girlfriend, Jade, insists he just needs time to adjust to his new reality as a quadriplegic, that it’s his traumatized mind playing tricks on him, but Henry knows better. As the specter haunting him creeps closer each night, Henry battles to find a way to endure, to rid himself of the horror stalking him. Worried that this dread might plague him forever, he realizes the only way to exile his phantom is by confronting his troubled past and going back to the events that led to his injury.It all started when he whistled at night...."
author," Born in Chicago, Illinois, and a member of the Tunica-Biloxi Tribe of Louisiana, Nick Medina writes horror, crime, and mystery fiction that pairs social issues with local and Native American folklore. In addition to writing, he enjoys live music, ghost stories, and spending time with family. The Whistler is his third novel."
book,"This Barnes & Noble Exclusive Edition includes a bonus illustration and a letter from author Lyla Sage.Home is where the heart is—and this one is haunted.The #1 New York Times bestselling author of the Rebel Blue Ranch series returns with a brand-new story, featuring a small-town upholsterer in need of a fresh start, a photographer whose life has come to a screeching halt . . . and the supernatural forces that bring them together.Collins Cartwright does not want to go home. Sweetwater Peak, Wyoming, was supposed to be in her rearview mirror, but when she finds out a developer is trying to buy her parents' antique shop out from under them, she doesn't have a choice—at least, that's what she tells her family. They don't need to know she's lost her job and is out of money. Or that the ghosts that have always been her companions have recently gone silent.But just because she's returned home doesn't mean she has to stay with her parents or crash on her twin sister's couch. Lucky for her, the new-to-town upholsterer has a room for rent above his store. Unluckily, it is absolutely crawling with more ghosts who are freezing her out. And Collins hates being ignored.Brady Cooper is absolutely and totally fine. Seriously, there's no secret reason why he decided to uproot his life and suddenly move to Sweetwater Peak. He just needed a change of pace. At least, that's what he tells himself. And everyone else.When he agrees to let the elusive Collins Cartwright stay in his spare room, he doesn't know that she's absolutely bonkers—constantly talking to herself and having conversations with no one—or that she looked like that. But as they begin to get closer, the lines between them start to blur, leaving both of them—and the ghosts that have been pushing them together—wondering whether or not their temporary arrangement could be something more permanent."
author," Lyla Sage lives in the Wild West with her loyal companion, a sweet, old, blind rescue pitbull. She writes romance that feels like her favorite things: sunshine and big blue skies. She is also the author of Done and Dusted, Swift and Saddled, Lost and Lassoed and Wild and Wrangled. When she’s not writing, she’s reading."
book,"This Barnes & Noble Exclusive ""Dragon Edition"" includes a unique cover insert and printed edge design, an exclusive Q&A with Katherine Rundell, and a special preview of a new entry from ""The Guardian's Bestiary"" in The Poisoned King.Two kids race to save the world’s last magical place in the first book of a landmark new fantasy series, from “a writer with an utterly distinctive voice and a wild imagination.” (Philip Pullman, author of The Golden Compass)“An instant classic from one of the most gifted storytellers of our time, Impossible Creatures is an astonishing miracle of a book.” —Katherine Applegate, Newbery Medal Winner for The One and Only IvanThe day that Christopher saved a drowning baby griffin from a hidden lake would change his life forever.It’s the day he learned about the Archipelago—a cluster of unmapped islands where magical creatures of every kind have thrived for thousands of years, until now. And it’s the day he met Mal—a girl on the run, in desperate need of his help.Mal and Christopher embark on a wild adventure, racing from island to island, searching for someone who can explain why the magic is fading and why magical creatures are suddenly dying. They consult sphinxes, battle kraken, and negotiate with dragons. But the closer they get to the dark truth of what’s happening, the clearer it becomes: no one else can fix this. If the Archipelago is to be saved, Mal and Christopher will have to do it themselves.Katherine Rundell’s story crackles and roars with energy and delight. It is brought vividly to life with more than 60 illustrations, including a map and a bestiary of magical creatures."
book,"NEW YORK TIMES BESTSELLER • A sweeping fantasy about a witch who must navigate a ruthless marriage competition—and try not to fall in love along the way. Part twisting mystery, part thrilling romance, The Weaver Bride is an unputdownable romantasy steeped in a lush magical world.The gorgeous first edition of The Weaver Bride will feature stunning, stenciled edges and printed endpapers!Lovett Tamerlane is a silkwitch. Like all girls of her kind, she holds a rare magic—a magic that can be harnessed only through marriage to a Weaver. But finding a Weaver husband requires status, refinement, and money, all of which Lovett sadly lacks. Her one secret ability, to open any door, is her saving grace. Hidden in plain sight, Lovett spends her days using her gift to steal from wealthy families and her nights avoiding the fate imposed on all unwed silkwitches: a life confined to the cloisters.But opening doors can be dangerous, and when Lovett steals from the wrong person, she finds herself face to face with Eliot Lear, the notorious son of a prominent Weaver. It turns out Eliot’s been watching Lovett. He knows she’s a silkwitch, and he offers her a life-altering opportunity: entrance to the Vainglory, a competition with the ultimate prize—marriage to Noé Alaire, heir to generations of Weaver wealth. The catch? Last year, the Vainglory ended in tragedy. The winner died. And the winner was Eliot’s sister.The arrangement is simple: If Lovett solves the mystery of Ophelia Lear’s death and unmasks her killer, Eliot will ensure she has her pick of Weaver suitors, regardless of who wins the competition. Yet unraveling Ophelia’s murder proves far more complicated than either of them anticipated. And Lovett should know better than to take a Weaver at his word.After all . . . what is love without betrayal?"
author, Lydia Gregovic is a Brooklyn-based author and editor whose identity is rooted in the Texas Gulf and along the coastline of Montenegro. She lives in New York with her complete collection of the works of Jane Austen and several half-dead plants. She is the author of The Monstrous Kind and The Weaver Bride.
book,"Historical horror maven Alma Katsu turns her talents to the modern world for the first time, in this terrifying tale about an all-powerful family with an ancient evil under its thumb.Imagine if the Sackler family had a demon at their beck and call.The Berisha family runs one of the largest import-export companies in the world, and they’ve always been lucky. Their rivals suffer strokes. Inconvenient buildings catch on fire. Earthquakes swallow up manufacturing plants, destroying harmful evidence. Things always seem to work out for the Berishas. They’re blessed.At least that is what Zef, the patriarch, has always told his three children. And each of them knows their place in the family—Dardan, as the only male heir, must prepare to take over as keeper of the Berisha secrets, Maris’s most powerful contribution, much to her dismay, will be to marry strategically, and Nora’s job, as the youngest, is to just stay out of the way. But when things stop going as planned, and the family blessing starts looking more like a curse, the Berishas begin to splinter, each hatching their own secret scheme. They didn’t get to be one of the richest families in the world without spilling a little blood, but this time, it might be their own."
author," Alma Katsu is the author of eight novels, most recently Red London, The Fervor, Red Widow, and The Deep. Prior to the publication of her first novel, she had a thirty-five-year long career as a senior intelligence analyst for several U.S. agencies, including the CIA and NSA, as well as RAND. Katsu is a graduate of the master's writing program at the Johns Hopkins University and received her bachelor's degree from Brandeis University. She lives in West Virginia with her husband and is a contributing reviewer for the Washington Post."
book,"From bestselling and award-winning author Cadwell Turnbull comes A Ruin, Great and Free, the stunning conclusion to the popular Convergence Saga.It has been nearly two years since the anti-monster riots. The inhabitants of Moon have been very fortunate in the intervening months. Inside their hidden monster settlement, they’ve found peace, even as the world outside slips into increasing unrest. Monsters are being hunted everywhere, forced back into the shadows they once tried to escape from. Other secret settlements have offered a place to hide, but how long can this half-measure against fear and hatred last?Over the course of three days, the inhabitants of Moon are tested. The Black Hand continues to search for them, and the Cult of the Zsouvox wants to make Moon the last stand in their war against the Order of Asha. This is more than enough to reckon with, but the gods have also placed their sights on Moon—and they bring with them a conflict that may either save or unravel the universe itself."
author," Cadwell Turnbull is the author of The Lesson and No Gods, No Monsters. His short fiction has appeared in The Verge, Lightspeed, Nightmare, Asimov’s Science Fiction, and several anthologies, including The Best American Science Fiction and Fantasy 2018 and The Year’s Best Science Fiction and Fantasy 2019. The Lesson was the winner of the 2020 Neukom Institute Literary Award in the debut category and No Gods, No Monsters won the 2022 Lambda Literary Award for Best LGBTQ Speculative Fiction. Turnbull lives in Lafayette, IN."
book,"Now experience where the hit movie from Academy Award-winning director Bong Joon Ho, starring Robert Pattinson, started in Mickey7 (the inspiration for the film Mickey 17).Dying isn’t any fun…but at least it’s a living.Mickey Barnes is an Expendable: a disposable employee on a human expedition sent to colonize the ice world Niflheim. Whenever there’s a mission that’s too dangerous—even suicidal—the crew turns to Mickey. After one iteration dies, a new body is regenerated with most of his memories intact. After six deaths, Mickey7 understands the terms of his deal…and why it was the only colonial position unfilled when he took it.On a routine scouting mission, Mickey7 goes missing and is presumed dead. By the time he returns to the colony base, surprisingly helped back by native life, his fate has been sealed. There’s a new clone, Mickey8, reporting for Expendable duties, and there can only be one Expendable. If Mickey7 reports his survival to Command, one of them is going into the recycler. If he doesn’t and they’re caught, they both are.Meanwhile, life on Niflheim is getting worse. The atmosphere is unsuitable for humans, food is in short supply, and terraforming is going poorly. The native species are growing curious about their new neighbors, and that curiosity has Commander Marshall very afraid. Ultimately, the survival of both lifeforms will come down to Mickey7.That is, if he can just keep from dying for good."
author," Edward Ashton (he/him) is the author of the novels Three Days in April, The End of Ordinary, Mickey7, Antimatter Blues, and Mal Goes to War, as well as of short stories which have appeared in venues ranging from the newsletter of an Italian sausage company to Escape Pod, Analog, and Fireside Fiction. He lives in a cabin on the shore of an inland sea, where he enjoys cancer research, teaching quantum physics to sullen graduate students, and whittling."
book,"From a new voice in horror comes a satirical Rosemary’s Baby for our conspiratorial present in which anti-capitalist activists unwittingly unleash terrifying demonic forces when they kidnap a pregnant heiress.From Ned Beauman, the Man Booker Prize–longlisted author of The Teleportation Accident and Clarke Award–winning author of Venomous Lumpsucker.For months, Luke and his underground revolutionary group have been planning their biggest operation yet: kidnapping 23-year-old Adeline Woolsaw. They don’t want a ransom—they want to expose the Woolsaw Group, the source of Adeline’s parents’ enormous wealth, a vast yet largely anonymous company that runs everything from military bases and mental hospitals to commuter trains, call centers, and prisons.But the revolutionaries get a shock when they bundle Adeline into their van. She’s about to go into labor. And she may not object to being kidnapped, if it allows her and the baby to escape her despotic parents.It quickly becomes apparent that this is no ordinary child. He’s capable of setting off deadly weather events and summoning plagues of vermin. And that’s just the beginning. Luke discovers that Adeline’s parents engineered the pregnancy as part of a dark bargain with an ancient evil of nearly limitless power. Now the Woolsaws and their henchmen will stop at nothing to get the infant back, so they can establish an infernal new kingdom on Earth with their grandchild on the throne.Kit Burgoyne (pen name of Booker–listed author Ned Beauman) is a ruthlessly funny new voice in horror: witty, appalling, and as adept at skewering today’s plutocratic overlords as he is at conjuring our most primeval nightmares."
author," Kit Burgoyne is the horror fiction pen name of Ned Beauman, who was named one of Granta’s Twenty Best Young British Novelists in 2013, and is the author of Boxer, Beetle (winner of the Goldberg Prize for Outstanding Debut Fiction); The Teleportation Accident (longlisted for the Man Booker Prize and winner of the Somerset Maugham Award); Glow; Madness Is Better than Defeat; and Venomous Lumpsucker (winner of the Arthur C. Clarke Award). He has written for The New York Times, The Guardian, and the London Review of Books. He lives in London. The Captive is his first novel as Kit Burgoyne."
book,"AN INSTANT USA TODAY BESTSELLER!One of BookBub's Best Horror Books of 2025!Brimming with dark humor, violence, and mystery, The Autumn Springs Retirement Home Massacre is a blood-soaked slasher sure to keep readers guessing until the very last page.Rose DuBois is not your average final girl.Rose is in her late 70s, living out her golden years at the Autumn Springs Retirement Home.When one of her friends dies alone in her apartment, Rose isn’t too concerned. Accidents happen, especially at this age!Then another resident drops dead. And another. With bodies stacking up, Rose can’t help but wonder: are these accidents? Old age? Or something far more sinister?Together with her best friend Miller, Rose begins to investigate. The further she digs, the more convinced she becomes: there’s a killer on the loose at Autumn Springs, and if she isn’t careful, Rose may be their next victim.Also by Philip Fracassi:Boys in the Valley"
author," PHILIP FRACASSI is the Bram Stoker Award-nominated author of the story collections Behold the Void, Beneath a Pale Sky, and No One is Safe! His novels include A Child Alone with Strangers, Gothic, Boys in the Valley, and The Third Rule of Time Travel. His stories have been published in numerous magazines and anthologies, including Best Horror of the Year, Nightmare Magazine, Interzone, and Southwest Review. Philip lives in Los Angeles."
book,"Adrian Tchaikovsky's Arthur C. Clarke Award-winning novel Children of Time is the epic story of humanity's battle for survival on a terraformed planet. The last remnants of the human race left a dying Earth, desperate to find a new home among the stars. Following in the footsteps of their ancestors, they discover the greatest treasure of the past age — a world terraformed and prepared for human life. But all is not right in this new Eden. In the long years since the planet was abandoned, the work of its architects has borne disastrous fruit. The planet is not waiting for them, pristine and unoccupied. New masters have turned it from a refuge into mankind's worst nightmare. Now two civilizations are on a collision course, both testing the boundaries of what they will do to survive. As the fate of humanity hangs in the balance, who are the true heirs of this new Earth?"
author," Adrian Tchaikovsky was born in Woodhall Spa, Lincolnshire, and headed off to university in Reading to study psychology and zoology. For reasons unclear even to himself, he subsequently ended up in law. Adrian has since worked as a legal executive in both Reading and Leeds and now writes full time. He also lives in Leeds, with his wife and son. Adrian is a keen live role-player and occasional amateur actor. He has also trained in stage-fighting and keeps no exotic or dangerous pets of any kind — possibly excepting his son."
book,"What hue do you think of when we say apple? Hues and Cues® is the award-winning vibrant game of colorful communication where players are challenged to make connections to colors with words. Using only one and two-word cues, players try to get others to guess a specific hue from the 480 colors on the game board. The closer the guesses are to the target, the more points you earn. Since everyone imagines colors differently, connecting colors and clues has never been this much fun! Test your color knowledge and guessing abilities with Hues and Cues – a vibrant group party game of colorful communication where players are challenged to make connections to colors with words Using only one and two-word cues, players try to get others to guess a specific hue from the 480 colors squares on the unique game board The winner is the player who has the most points on the outside grayscale scoring track after 1 or 2 rounds Includes 1 game board, 100 color cards, 30 player pieces, 1 rulebook, 1 scoring frame 3-10 Players | Ages 8+ | 30+ Min Play Time For Ages: 8+ WARNING: CHOKING HAZARD - Small parts. Not for children under 3 years."
book,"#1 New York Times bestselling author Veronica Roth pulls from Slavic folklore to explore family, duty, and what it means to be a monster in this sequel to the USA Today bestselling novella When Among Crows.A funeral. A heist. A desperate mission.When Dymitr is called back to the old country for the empty night, a funeral rite intended to keep evil at bay, it's the perfect opportunity for him to get his hands on his family's most guarded relic—a book of curses that could satisfy the debt he owes legendary witch Baba Jaga. But first he'll have to survive a night with his dangerous, monster-hunting kin.As the sun sets, the line between enemies and allies becomes razor-thin, and Dymitr’s new loyalties are pushed to their breaking point.Family gatherings can be brutal. Dymitr’s might just be fatal."
author," Veronica Roth is the #1 New York Times bestselling author of the Divergent series (Divergent, Insurgent, Allegiant, and Four: A Divergent Collection), the Carve the Mark duology (Carve the Mark, The Fates Divide), The End and Other Beginnings collection of short fiction, Chosen Ones, Arch-Conspirator, When Among Crows, and many short stories and essays. She lives in Chicago."
book,"NEW YORK TIMES BESTSELLER • Award-winning comedian Zarna Garg turns her astonishing life story into a hilarious memoir, spilling all the chai on her wild ride from escaping an arranged marriage and homelessness in India to carving her own path in America and launching a dazzling second act in midlife.“A deeply honest and hilarious book about how you always win if you bet on yourself.”—Amy PoehlerThroughout Zarna’s whole childhood in India, everyone called her “so American” just for reading the newspaper, having deep thoughts, and talking back to anyone over the age of thirty. When Zarna’s dad tried to marry her off at age fourteen, Zarna fled—first to the streets of Mumbai and ultimately to the glittering paradise of Akron, Ohio, where she got to become American for real.On Zarna’s very American quest to find herself and her calling, she threw herself wholeheartedly into roles like dog-bite lawyer, crazy perfectionist stay-at-home mom, Indian matchmaker, prizewinning screenwriter, and more. It wasn’t until a dare led her to a stand-up comedy open mic that Zarna finally found her spiritual home: getting paid cold hard cash for her big fat mouth.And as Zarna discovered, after surviving the brutal streets of Mumbai, the cutthroat world of stand-up comedy is nothing.This American Woman is an exuberant story of fighting for your right to determine your own destiny and triumphing beyond what you ever dreamed was possible. Zarna’s mantra becomes a call to action: It’s never too late. If Zarna can do it, you can, too."
author," Zarna Garg is a force of nature with a mic. America’s first Indian immigrant mom comedian burst onto the scene in 2023 with her first special, One in a Billion. Her follow-up special, Practical People Win, hits Hulu in 2025. Zarna cut her teeth opening for icons Tina Fey and Amy Poehler. Her acting debut in the indie hit A Nice Indian Boy earned rave reviews, while her hugely popular Zarna Garg Family Podcast explores modern family life with her husband and kids. With millions of social media followers and billions of views, Zarna just can’t stop laughing her way to the top."
book,"“A whip-smart, razor-sharp look behind the glossy veneer of Hollywood, Break Me Down is the definition of bingeworthy: ingeniously plotted, wholly propulsive, and deliciously addictive. I was sucked in from the word go and couldn't tear myself away! Juicy, dramatic, bold, and utterly original, Downes has crafted another masterpiece.” -May Cobb, bestselling author of The Hunting Wives Break Me Down features multicast narration and includes a bonus conversation between Anna and some of the main cast members, discussing the story and their experiences as actors. How far would you go for greatness? Through immersive scenes, a full cast, sound effects, and more, bestselling author Anna Downes brings listeners into The Studio, an elite Los Angeles acting school whose cult-like leader, Marianna, promises to make students into unstoppable talents-at any cost. After years of seclusion, the once-celebrated child star Georgia Lane moves to Los Angeles, determined to make a comeback. But as bills pile up and auditions don't, she realizes that beneath the glitzy facade of LA lies an unforgiving city. But things start looking up when Georgia meets Henry, an aspiring actor who sweeps her off her feet and offers to help with her career. He connects her with his agent and brings her to audit a class at The Studio, an elite acting group of which he's a member. There, The Studio's head teacher, Marianna (narrated by Orange Is the New Black star Yael Stone), takes a special interest in Georgia. As Georgia steps into the intense, ego-driven world of The Studio, she finds herself invigorated by its unconventional methods, which promise to unlock her full potential-while demanding much more in return. The more she commits to its ways, the more The Studio reveals itself as a battleground of ambition, jealousy, and psychological warfare. As the line blurs between the pursuit of art and the survival of the self, everything Georgia holds dear starts slipping away. Break Me Down is a testament to the power of art to heal, destroy, and ultimately transform. An audio original from Macmillan Audio."
book,"Horror Movie meets the scope and emotion of Stephen King in this heart-pounding, magnetic tour de force novel, destined to become an instant classic, about a woman pulled into a cult horror film that is determined to have a sequel, by critically acclaimed author Michael Wehunt.Ten years ago, Jorie Stroud was the rising star of the October Film Haunt – a trio of horror enthusiasts who camped out at the filming locations of their favorite scary movies, sharing their love through their popular blog. But after a night in the graveyard from Proof of Demons – perhaps the most chilling cult film ever made, directed by the enigmatic Hélène Enriquez – everything unraveled.Now, Jorie has built an isolated life with her young son in Vermont. In the devastating wake of her viral, truth-stretching Proof of Demons blog entry — hysteria, internet backlash, and the death of a young woman — Jorie has put it all, along with her intense love for the horror genre, behind her.Until a videotape arrives in the mail. Jorie fears someone might be filming her. And the “Rickies” – Enriquez obsessives who would do anything for the reclusive director – begin to cross lines in shocking ways. It seems Hélène Enriquez is making a new kind of sequel…and Jorie is her final girl.As the dangers grow even more unexpected and strange, Jorie must search for answers before the Proof of the movie’s title finds her and takes everything she loves.This riveting and layered horror novel unleashes supernatural terror in a world where truth can be manipulated, and nothing is as it seems. Beautiful and horrifying, with an unforgettable cast of characters, The October Film Haunt will shock and delight readers all the way to its breathless final page.""So unique and steeped in 21st century paranoia and dread you won't be able to read this alone at night."" - Paul Tremblay""The horror in here is palpable, but the writing itself is just as scary: How can one pen have this many good lines in it?"" - Stephen Graham Jones"
author," MICHAEL WEHUNT has been a finalist for multiple Shirley Jackson Awards and was shortlisted for the International Association for the Fantastic in the Arts' Crawford Award. In Spain, his stories have garnered nominations for the Premio Ignotus and Premio Amaltea, winning the latter. He haunts the woods outside Atlanta with his partner and their dog. Together, they hold the horrors at bay."
book,"A special new edition in celebration of the 20th anniversary of the publication of Harry Potter and the Sorcerer's Stone, with a stunning new cover illustration by Caldecott Medalist Brian Selznick. Harry Potter has never been the star of a Quidditch team, scoring points while riding a broom far above the ground. He knows no spells, has never helped to hatch a dragon, and has never worn a cloak of invisibility.All he knows is a miserable life with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley - a great big swollen spoiled bully. Harry's room is a tiny closet at the foot of the stairs, and he hasn't had a birthday party in eleven years.But all that is about to change when a mysterious letter arrives by owl messenger: a letter with an invitation to an incredible place that Harry - and anyone who reads about him - will find unforgettable."
author," J.K. Rowling is the author of the enduringly popular Harry Potter books. After the idea for Harry Potter came to her on a delayed train journey in 1990, she plotted out and started writing the series of seven books and the first was published as Harry Potter and the Philosopher’s Stone in the UK in 1997. The series took another ten years to complete, concluding in 2007 with the publication of Harry Potter and the Deathly Hallows. To accompany the series, J.K. Rowling wrote three short companion volumes for charity, Quidditch Through the Agesand Fantastic Beasts and Where to Find Them, in aid of Comic Relief and Lumos, and The Tales of Beedle the Bard, in aid of Lumos. She also collaborated on the writing of a stage play, Harry Potter and the Cursed Child, which was published as a script book.Her other books for children include the fairy tale The Ickabog and The Christmas Pig, which were published in 2020 and 2021 respectively and have also been bestsellers. She is also the author of books for adults, including a bestselling crime fiction series.J.K. Rowling has received many awards and honors for her writing. She also supports a number of causes through her charitable trust Volant and is the founder of the children’s charity Lumos.To find out more about J.K. Rowling visit jkrowlingstories.com.      Brian Selznick’s books have sold millions of copies, garnered countless awards worldwide, and been translated into more than 35 languages. He broke open the novel form with his innovative and genre-defying thematic trilogy, beginning with the Caldecott Medal-winning #1 New York Times bestseller The Invention of Hugo Cabret, adapted into Martin Scorsese's Oscar-winning movie Hugo. He followed that with the #1 New York Times bestseller, Wonderstruck, adapted into the eponymous movie by celebrated filmmaker Todd Haynes, with a screenplay by Selznick, and the New York Times bestseller, The Marvels. Selznick’s two most recent books for young people, Baby Monkey, Private Eye, an ALA Notable Book co-written with his husband David Serlin, and Kaleidoscope, a New York Times Notable Children’s Book of 2021, were both New York Times bestsellers as well. He also illustrated the 20th anniversary edition covers of J.K. Rowling's Harry Potter series. Selznick and Serlin divide their time between Brooklyn, New York and La Jolla, California. Learn more at thebrianselznick.com and mediaroom.scholastic.com/brianselznick.     Mary GrandPré has illustrated more than twenty beautiful books, including The Noisy Paint Box by Barb Rosenstock, which received a Caldecott Honor; Cleonardo, the Little Inventor, of which she is also the author; and the original American editions of all seven Harry Potter novels. Her work has also appeared in the New Yorker, the Atlantic Monthly, and the Wall Street Journal, and her paintings and pastels have been shown in galleries across the United States. Ms. GrandPré lives in Sarasota, Florida, with her family."
book,"AN INSTANT NEW YORK TIMES BESTSELLER""Wildly entertaining.""-The New York Times""Ingenious.""-The Washington PostNew York Times bestselling author Grady Hendrix takes on the haunted house in a thrilling new novel that explores the way your past—and your family—can haunt you like nothing else. When Louise finds out her parents have died, she dreads going home. She doesn’t want to leave her daughter with her ex and fly to Charleston. She doesn’t want to deal with her family home, stuffed to the rafters with the remnants of her father’s academic career and her mother’s lifelong obsession with puppets and dolls. She doesn’t want to learn how to live without the two people who knew and loved her best in the world. Most of all, she doesn’t want to deal with her brother, Mark, who never left their hometown, gets fired from one job after another, and resents her success. Unfortunately, she’ll need his help to get the house ready for sale because it’ll take more than some new paint on the walls and clearing out a lifetime of memories to get this place on the market. But some houses don’t want to be sold, and their home has other plans for both of them… Like his novels The Southern Book Club’s Guide to Slaying Vampires and The Final Girl Support Group, How to Sell a Haunted House is classic Hendrix: equal parts heartfelt and terrifying—a gripping new read from “the horror master” (USA Today)."
author," Grady Hendrix is a New York Times bestselling novelist and screenwriter who owns too many paperbacks and not enough shelves. He's the author of How to Sell a Haunted House, The Final Girl Support Group, The Southern Book Club's Guide to Slaying Vampires, and many more, including Paperbacks from Hell, a history of the horror paperback boom of the seventies and eighties that won the Bram Stoker Award for Superior Achievement in Nonfiction. (All the paperbacks are for ""research"" and he needs them.) His books have sold over two million copies and have been translated into more than twenty languages. He lives in New York City and will die there, too, probably crushed to death beneath piles of those paperbacks."
book,"One of Ray Bradbury's best-known and most popular novels, Something Wicked This Way Comes, now in a new recording narrated by Paul Giamatti!For those who still dream and remember, for those yet to experience the hypnotic power of its dark poetry, step inside. The show is about to begin. Cooger & Dark's Pandemonium Shadow Show has come to Green Town, Illinois, to destroy every life touched by its strange and sinister mystery. The carnival rolls in sometime after midnight, ushering in Halloween a week early. A calliope's shrill siren song beckons to all with a seductive promise of dreams and youth regained. Two boys will discover the secret of its smoke, mazes, and mirrors; two friends who will soon know all too well the heavy cost of wishes...and the stuff of nightmares. Few novels have endured in the heart and memory as has Ray Bradbury's unparalleled literary masterpiece Something Wicked This Way Comes. Scary and suspenseful, it is a timeless classic in the American canon."
book,"This Barnes & Noble Exclusive Edition features an exclusive art print!Sebastian Rousseau is a grumpy, hot-as-hell fire pilot who is too damn good with his hands.It's the perfect combination. But unfortunately for her, he's also her ex-boyfriend's dad.A chance meeting brought them together, and a missed connection has kept them apart.One year later, a stroke of fate has them living under the same roof—which makes everything between them downright messy. Because even after all this time, he's still the man Gwen thinks about when she falls asleep. The one she can't get over no matter how hard she tries.Bash is working on mending a fragile relationship with his son, and they both know acting on these urges would be the ultimate betrayal.But Gwen sees the heat in his eyes. That look of need that never fails to send a shiver down her spine.The mutual longing is borderline unbearable, and the simmering heat between them is downright palpable.They both know there are rules when it comes to situations like this.But then again…following the rules has never felt so futile."
author," Elsie Silver is a Canadian author of sassy, sexy, small town romance who loves a good book boyfriend and the strong heroines who bring them to their knees. She lives just outside of Vancouver, British Columbia with her husband, son, and three dogs and has been voraciously reading romance books since before she was probably supposed to.She loves cooking and trying new foods, traveling, and spending time with her boys–especially outdoors. Elsie has also become a big fan of her quiet five am mornings, which is when most of her writing happens. It’s during this time that she can sip a cup of hot coffee and dream up a fictional world full of romantic stories to share with her readers."
book,"NEW YORK TIMES BESTSELLER • From the renowned author of Project Hail Mary and The Martian comes a “propulsive” (NPR) tale of science, suspense, and humor—a heist story set on the moon.“An action-packed techno-thriller of the first order.”—USA TodayJasmine Bashara never signed up to be a hero. She just wanted to get rich.Not crazy, eccentric-billionaire rich, like many of the visitors to her hometown of Artemis, humanity’s first and only lunar colony. Just rich enough to move out of her coffin-sized apartment and eat something better than flavored algae. Rich enough to pay off a debt she’s owed for a long time.So when a chance at a huge score finally comes her way, Jazz can’t say no. But engineering the perfect crime is just the start of her problems—because her little heist is about to land her in the middle of a conspiracy for control of Artemis herself.Trapped between competing forces, pursued by a killer and the law alike, she’ll have to hatch a truly spectacular scheme to have a chance at staying alive and saving her city. Jazz is no hero, but she is a very good criminal.That’ll have to do."
